名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
细***粒,PLUS会员,海贼王纪念版是必须要买的，一眼就看中的，感觉用着不会撞机。首销的时候凌晨没赶上点，好像没怎么放货，销售一空的样子。直到10月5号下的单，以后连续三天定时有货，接着直到双十一持续供货，这哪是限量版啊，别说两千台，两千万台估计也有。本来想一直收藏直到海贼王完结再拿出来重见天日，可是等不到那一天了，今年也是倒霉年，连续折损了好几部手机，开始屏碎了一个，后来的一加没有过三个月就丢了，夏天老婆的手机在车里进水坏掉了，前不久又新买的手机在车里连同充电宝一起被偷走了，照这样下去我到年还得用几部手机续命啊！一直在京东上买手机电子产品，种类质量没得说，还有配送员，真是非常辛苦，双十一等爆仓日都是忙到凌晨。我觉得魅族现在还不是很稳定，既不是大厂也不是小厂，去年就用机海战术猛铺货，今年就想用7por出奇兵，没有稳定持续性，不过没有做过多多余的广告还是很好的。海贼王限量版不限量还是很恼火的，之后还出什么近似的猩红版，黄金限量版，早知如此我就买便宜的蓝色版了，毕竟大红色太显眼了。希望这一部手机用的时间长一点，和海贼王一样永不,2017-11-23 23:05:16,250,102,5
中***水,钻石会员,最近一直打算换手机，上网看过不少网站的测评文章及网友的使用评价，而且自己注重拍照，经过考虑和对比决定购买魅蓝note6。在京东购物是首选，服务好速度快，经过一天的等待，拿到机子后迫不及待开箱验机，不错的手感，厚度感觉与苹果差不多，蓝色的配色非常时尚，在所有安卓系统中魅族的flyme系统有着不错的口碑，流畅及操作简便，拍照是我的重点，试过各项特效及夜景的拍摄，简直是越级的效果，想不到千元级别的机子会有如此效果，惊喜！一次很好的购物体验，希望魅蓝能不断带给我惊喜！,2017-11-04 00:23:08,30,21,5
J***8,铜牌会员,"因为之前用的vivox5Pro的手机2年了，最近特别容易发热，纠结了许久可能看中它的续航，买了这款note6，先说说优点吧，8点多毫米的厚度原以为很笨拙，但还好，外表挺满意的，关于指纹解锁特别喜欢，电量也挺满意的，我玩的算是频繁的了，但没有打游戏，到晚上6，7点还有百分之40的电。关于不喜欢的，首先是快递，其他快递都是送到校园里面，而这个打电话（京东配送的）是让我去校门口拿，大门口啊，许多学校宿舍离校园门口怎么也不是太近吧，当然这与本身这个产品没有多少关系。其次拿回来了解了一下，卸载了一些本身的软件，自己又下了几个之后就如图3，下载过程中也有清理了一下后台，就开始充电，睡觉起来50分钟左右吧，手机特别发烫，问客服说是要清理后台再充电，好吧，最后一张是今天充电情况运行有62M,充了大概30分钟，摸了下手机，简直烫得比我之前用那个还要严重。再次是手机背面如果不戴手机套特别容易脏，很沾指纹。最后关于拍照，一般般吧，并没有传说的那么好，不怎么喜欢拍出来的效果，但毕竟也是价钱在那儿。",2017-10-07 20:55:53,185,122,4
素***印,金牌会员,"真的是我考察了相关价位最具性价比的一款商品了
1299的价钱该有的全有，不该有的也有，实在是合适！
系统挺快的，照相有双摄
屏幕长，5.5寸屏
用了一阵子没有发现什么不好的地方",2017-11-18 21:40:27,81,36,5
闲***唧,PLUS会员,本来挺担心的头条上评价说的home键和摄像偷歪斜问题都没碰到。手感也可以！千元机估计就这样了不能拿高端机或者iPhone比的！就是开箱的时候电源键按好久居然不开机还以为买到问题机了，按了10秒左右开机了虚惊了下！,2018-01-13 11:39:56,13,2,5
W***f,银牌会员,京东你可长点心吧，手机这种东西你拿个袋子就装过来了，你看这盒子都摔歪了，手机是不是新手机我不知道，贴纸下面有尘，屏幕右下角有一块黑黑的不知道什么鬼擦不掉，测试过玩游戏，看视频等，游戏是不适合的，看电视还可以,2017-12-29 09:58:41,28,13,5
a***1,金牌会员,"写个走心点的评价，首先卖了2+16G魅蓝note3换了350块钱，因为它打游戏有点卡～其次等了一个月才等来高配版的note6。快递很快，配送员李师傅态度很好。入手拆机和以前一样，感觉这款机器比note3在配色上有更多的选择性，充电器很大，没法通用充电器。好的方便有几点:1虽然说厚度8毫米多，入手手感不错不蠢笨。2操作反应很快，装卸载软件等待时间不长。3电量属于比较耐用型，40左右的电用了将近半天（各种装卸载和鲁大师测评）。4进行了一局当下最流行的对局游戏，网路流畅的情况下未出现卡顿，帧率为30。5.用惯Flyme系统，上手很快。
不足之处一是充电发热明显，估计是快充缘故。二是感觉画面颜色偏浅，鲜艳度较之以前有所减退，用的是一朵盛开花朵的（苹果机的壁纸）壁纸。
拍照用者不讲究没进行比对，总体作为备用机和游戏机不用心疼其使用强度，千元级别造型挺漂亮，屏幕2.5D要注意手机膜，我选的手机膜是彻底废了，新的没到也不敢揭了这个。其他也没啥了",2017-10-03 23:04:11,344,167,5
j***s,铜牌会员,昨天拍的手机，今天下午通知已经到了。由于上班直到现在才评论。物流真给力。这手机反应快，自带的软件能删除。唯一不明白的是3+32的手机为啥总容量29G。。。这是我的第三部魅族手机，note1   note5到现在note6全是网购的，确实不错。值得信赖！！！??,2017-11-08 19:37:30,28,20,5
j***e,银牌会员,手机运行速度快，收件速度也很快，送货上门，待机时间较长，是正品,2017-11-13 18:28:44,31,7,5
钟***星,PLUS会员,之前买的魅蓝note2，用了两年，卡到不行！要经常清理Lj和内存，所以等了很久买到了标配黑色版本，外观挺漂亮，习惯了魅族的系统所以没有什么不适应。信号接收还有wifi比我之前的手机好多了，以前没信号的现在都有信号，而且接收都很不错。照相也清晰，只是双摄开启，有时候感觉对焦成像后的效果不是那么完美，不过这个价位来说算很好的了，下面是我个别照的照片，改了下颜色，其实原图也很漂亮！还有在车上快速行驶抓怕成像都很不错，对于我来说，这个手机这个价位真的很不错的了！最后手机充电很快，不过发热很严重，有时候都有点怕会不会爆炸！希望魅族越做越好吧,2017-10-12 03:25:03,144,29,5
两***糖,铜牌会员,快递很给力，商品也很好，早上八点买下午三点到，手机不是很重厚度刚刚好颜值也可以指纹也很快，手机整体看起来挺完美的，不错没有让我失望，祝魅族越来越好加油!,2018-02-27 17:51:16,2,1,5
z***e,PLUS会员,"用魅蓝note3做副机已经用了一年多了，一直想换一个新的，本来觉得小米5X也不错，但接着很快就有note6 要发布的消息了，然后就觉得再等一等。
看了魅蓝的发布会，当看到用了骁龙625的时候就觉得买他了，毕竟已经习惯了魅蓝的界面+前置指纹+好评的轻触返回。
手机性能很够，很流畅，电量足，希望下次屏幕给力点",2017-11-10 22:00:00,18,1,5
打***走,银牌会员,很不错，指纹解锁很灵敏，做工也比较精细，数据线很粗很结实，而且充电器和前作不用，可以看出是用心之作，而不像某为一样随便拿以前的配上。作为首款高通cpu手机，看得出魅族很是用心。flyme系统很流畅易用，双摄表现出色，高通625的功耗的确低。还是非常推荐购买的！,2017-11-10 21:44:04,22,1,5
j***o,铜牌会员,照相效果吊炸天，但是运行app的时候偶尔会出现卡顿，吃鸡很流畅，但是准星有点误差，调整灵敏度也不行。总结物有所值。,2018-03-09 08:31:07,0,0,5
c***8,PLUS会员,用过魅族的系统和mBack，再用其他的手机不适应，MX5用了两年半，内存不够了，中端机不喜欢，先用note6过渡。用几天再来评价。,2018-03-08 18:00:50,0,0,5
幸***伟,银牌会员,首先感谢快递小哥送到家门口。。这部手机和荣耀7x考虑了很久，最终选择了这个，因为我现在用的就是note 3   希望note 6不要让我失望，,2017-12-16 17:24:17,8,7,5
走***M,银牌会员,外观 还可以 漆面好像有点薄 没摔没碰 不知怎么掉了一点漆 3+32 日常使用可以  Flyme 还是一贯的丝滑   屏幕并没有某些水军说的那样 看瞎眼  水平是可以的  和mx6的屏幕比起来就是稍微暗点 没别的毛病   夜拍还是很给力的  比起某些旗舰机 还是强点  续航给力  办公一天重度使用都能  hold住 可以了 比较满意吧,2018-03-04 17:58:50,3,0,5
j***t,铜牌会员,一分给外规，一分给处理器，一分给电池，一分给系统。一分给自己。,2017-11-04 16:33:03,6,2,5
祖***2,金牌会员,还行吧，电池是优点，系统还是魅族熟悉的味道，总的来说不错的，，相机确实是千元机榜首，只是屏幕有点差强人意，调节一下色温就可以了，不错不错，推荐购买，价格这么实惠，还要啥自行车?,2018-03-04 12:26:32,1,0,5
j***7,PLUS会员,试用了一下，屏幕很清晰，运行很流畅，对我这个从不玩游戏的人来说最满足了。,2018-03-08 11:10:49,0,0,5
j***x,金牌会员,双十一买的，高性价，电池挺耐用，还不错，买这个要求只是内存大点，满意,2017-11-21 22:33:28,1,2,5
z***k,PLUS会员,真旗舰，目前最好的魅族手机,2017-12-04 10:13:40,3,1,5
尼***痫,银牌会员,之前的黑色的碎了，摔碎了，这次买了个蓝色，没图，就拿黑色视频做个样子吧，注意，确实很扛摔，我这是抡圆了胳膊摔的，电话质量杠杠的，绝对能砸核桃,2017-12-06 16:32:21,6,3,5
z***9,PLUS会员,不推荐，我是买给家里老人用的，要求不高懒得退换了。开箱后粗略感受了一下，最大的问题是录音，极差，两米开外录制视频你音量调最大也不怎么听得清，用家里另一台老人机MX5同时录音看波形图就明白差距了，而且这个后期软件升级应该也无法提升多少，从图二对比mx5来看，应该是mic孔太小导致收音不佳，微信语音正常是因为使用时音源距离很近；其次，显示效果很差，图三对比用了几年的MX5，色彩还原度差了好多。第三，通话时收听音量和清晰度刚够及格水准。对千元级别的手机没报太高要求，但Note6还是让我失望了。,2018-03-06 00:25:39,0,1,2
j***6,银牌会员,**手机，老是自动黑屏重启，返修说没问题送金豆封口，卖了手机不理你了，说实在话我就是丢一千五百块丢给狗吃了，各种暗病，售后不理，打电话来的人口才真是会说说一堆乱七八糟的东西，问题解决不了，就是买了一台**，这是魅族最失败的一款手机，买了够后悔,2017-11-18 16:55:37,139,68,1
j***0,PLUS会员,买第二个魅族手机了，习惯一款手机的操作系统。就不想换其它了。各方面性能都不错。,2018-03-08 14:09:16,0,0,5
j***j,银牌会员,用着还行，就是可能屏幕上的膜没有揭下来所以看着很模糊，用着还很流畅吧，功能还不错,2018-03-07 20:39:11,0,0,5
万***清,金牌会员,帮朋友买的，外观精美，颜色好，价格便宜，大气，值得购买。,2018-03-08 16:29:20,0,0,5
涛***蛋,金牌会员,电池很耐用，比我之前用的那些好很多。,2018-03-07 13:20:44,1,0,5
买***卖,铜牌会员,同款手机拍的，买的第二个手机送老婆。嘻嘻,2018-03-07 10:36:27,0,0,5
j***p,银牌会员,丶屏幕色温调不了，不知道是系统问题还是……！,2018-03-09 00:16:24,0,0,5
赛***1,PLUS会员,第一次用定制版的手机，，，魅族的系统不错，，早在多年前就用过魅族～～～非常好的一次购物体验！！！！最后两图就是我早期的魅族～～,2017-11-04 11:42:55,4,3,5
