名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
蔡庄朱大威,PLUS会员,"999买的
看着很漂亮
也很实用
在专卖店买了个壳
挺漂亮的
够用
魅族加油
京东加油",2017-12-01 21:12:50,14,12,5
CAPF小哥,银牌会员,一直在等曜石黑的版本出来  昨天晚上拍下来今天就送到了  快递真快 拿到手就迫不及待的去换了个小卡打电话试了试通话声音清晰 机身薄比媳妇儿的x9还薄很意外 后面的跑马灯逼格高  玩王者荣耀比原来的小米3流畅多了 机身也没发热  惊喜万分  哈哈,2017-05-29 21:43:39,27,7,5
c***威,PLUS会员,用着还不错，给妈买的，主要就是性价比高,2018-03-08 01:49:26,0,0,5
y***n,铜牌会员,充电挺快，一个半钟就能充满，没电状态下。有一点烫，属正常犯围内，拔完充电头就不会了。个人推荐购买，这个价位挺值！屏幕清晰，待机时不耗电，32GB对于不玩游戏的人来说，也已足够，就是送的电信卡，我不知道怎么激活，说可以手机操作。,2018-03-09 15:16:14,0,0,5
旧***丨,PLUS会员,"手机挺不错，玩王者荣耀不卡，魅族的系统体验很好。用着很舒服。
配送站不好，5号7点到得配送站，第二天才给搭配配送员。配送员的态度很好。配送员给5分。配送站给3分。",2018-03-07 20:54:17,0,0,5
j***t,银牌会员,讨厌死这个手机了不知道很好???,2018-03-05 18:38:47,0,0,5
a***q,钻石会员,魅族手机是很好用的，前后买了4部魅族手机，这款手机屏幕清晰，指纹解锁，配置也高，加上他们系统流畅，这个价位性价比很高，向大家推荐了。,2018-03-04 19:45:59,0,0,5
j***0,金牌会员,屏幕是那种全部包起来的，超薄机身，反应很快！赞一个！,2018-03-08 17:28:00,0,0,5
D***笑,铜牌会员,先用几天再来评吧,2018-03-07 13:17:33,0,0,5
j***2,PLUS会员,送给妈妈的 这个价格 功能挺适合她用的 用习惯魅族的 换其他牌子还挺别扭的,2018-03-07 12:32:00,0,0,5
逝***愁,钻石会员,第一次用魅族手机，体验很好，外观漂亮时尚大方，做工精致性能够用，待机时间久！联发科处理器魅族优化的非常帮，加上flyme系统加持，堪称完美，p20处理器很省电的，智得体检！,2017-11-07 09:38:27,1,0,5
w***8,金牌会员,屏幕色彩一般，运行挺流畅，买给家里老人的,2018-03-04 19:23:37,0,0,5
j***v,铜牌会员,可以，就是没耳机，送货速度快！,2018-03-06 23:01:15,0,0,5
l***来,银牌会员,怎么说呢，除了上划任务栏不灵敏之外，别的没什么了。反正跟之前的魅蓝手机比，整个屏幕都不太灵敏。因为过年急着出差就没有换了，现在用着还可以。,2018-03-07 16:27:58,0,0,5
L***军,金牌会员,第一款智能手机就是魅族mx2，就在京东买的，那时候历时两个月才收到，现在这款买给妈妈，速度太快了，而且主要手机非常漂亮，适合少女心的妈妈,2018-03-07 10:16:12,0,0,5
哇***略,银牌会员,包装很nice   京东的快递，一向都是这么给力。手机也很好用，因为我之前用的魅蓝E  这出的E 2 换个用用看，看样子还不错。,2018-03-05 21:29:24,0,0,5
j***m,PLUS会员[试用],京东小哥很尽责 ，当时我自己要回学校了，让弟弟去领的，京东小哥还特意确认了身份。谢谢你！,2018-03-07 17:08:24,0,0,5
子***n,PLUS会员,手感很好。运行很流畅。一直就想买一款魅族的手机了。可惜他一直没有好的高通小龙的处理器。,2018-03-08 18:40:52,0,0,5
有***好,金牌会员,给老妈买的，魅族一直是不二之选，好用实惠！题外话：希望魅族旗舰机能出得更好更受欢迎呀！已经落后了很多咯！,2018-03-06 17:02:50,0,0,5
n***H,银牌会员,很好，玩了很久不错，快递也好很快，外观漂亮，玩游戏不卡，充电快，屏幕显示清楚，拍照也还行。,2018-03-08 07:01:23,0,0,5
j***d,铜牌会员,手机外观好看，千元机中性价比高较高，用了几天很流畅，希望不会用着用着就卡顿，拍照效果一般,2018-03-04 23:39:57,0,0,5
小***5,PLUS会员,魅族粉，喜欢魅族系统，简单，好用，给家人买，推荐朋友买，价钱实惠,2018-03-07 15:38:29,0,0,5
