名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
血***龙,PLUS会员,家里人手机不好用了就赶紧搜罗 京东千元机转悠一圈为啥买了这个 主要是因为魅族的颜值还不错 更重要的就是我只喜欢前置指纹的手机，虽然这魅族处理器相比360和小米千元机用的高通垃圾处理器，但是胜在魅族永远前置指纹解锁，现如今不打游戏这个处理器也就够用了，6寸屏幕不大不小也算老人用着合适，买京东自营是速度快早上下单下午就到，这手机价格今个除了白色临时促销降价其他颜色都是原价所以就买了白色，其他颜色以前也特价过，不过那时家里人手机都是好的没坏。360有个新出的6+64G处理器也是高通的挺牛逼就是新出的没货还得到时抢购，不过也是后置指纹不喜欢但是运存比这个魅蓝max大3G，遗憾啊360手机你们就不会出个前置指纹机器吗？,2017-03-21 21:48:25,111,69,5
假扮的帅哥,钻石会员,一波三折，收到货，很是欢喜，是我要的，比我手上的metal好看多了，魅族一直再改进，机子越来越有质感，我已经换了3部了，从08年的m8在到魅蓝note，再到魅蓝metal，再到现在的魅蓝max，魅族一直都给我很多的惊喜，大屏我的最爱，期待魅族以后新的机子，能再有改进，作为魅粉会一直支持下去！,2016-09-30 17:02:57,22,9,5
j***q,银牌会员,"手机是给媳妇买的，用了一段时间才来评价，很满意很喜欢，手机够大，内存够大，电池给力，
这已经是买的魅族的第三部手机了，还准备再入手一部魅蓝手机，我是魅族的忠实粉丝",2017-01-20 10:49:47,86,21,5
_***笑,铜牌会员,"东西一天我就收到了 只不过没有我想要的灰色 多少是有点儿小伤感的    买给我父亲用的 希望质量没有问题 希望流畅好用   耳机什么的没有也就算了 连个壳子都没有 这些都应该属于手机配件吧 针对地域性发货这个问题 应该有所改善 可以到有货的地方发啊 只不过多等一两天不就可以了 人是活的啊 这种问题脑子转一下不就OK了 灵活点嘛
算了 习惯性好评",2017-09-22 18:20:12,6,1,5
1***p,金牌会员,一直很信赖魅族。尤其是性价比高，而且真是青年良品。手感特别棒,2017-09-21 20:37:16,4,5,5
土***耳,PLUS会员,特地用了一个月的手机  手机外观漂亮，手感不错。六寸屏幕看电影比较爽。单手握觉得有些太大，握不紧。大电池续航能力强，快充确实充电很快。充满的话差不多100分钟左右。内存大容量可以存好些数据。光线亮度感应觉得不太灵敏。拍照白天还行，光线暗的话，照片拍出来太糟糕。外放音质也是千元机应有的效果。系统还没推送稳定版的Flyme6.0。还是Flyme5。官网只有体验版的。魅蓝note3都有稳定版的。没办法了。只是电话，上上网，看看电影，基本不会玩游戏，觉得魅蓝MAX还是挺不错的。京东快递比较给力，当天晚上买的，第二天早上就收到手机了。还送了个手环。,2017-02-04 10:16:09,2,0,4
幸***1,金牌会员,宝贝收到了，早上拍下，下午就送到手中，物流挺给力！只可惜没帮贴膜，去6家实体店贴膜都没有这款的膜,2016-12-13 09:31:51,82,24,5
鲍***甜,金牌会员,这是买的第二个。第一个很不愉快。到货之后有问题。退了又重新买。这个还比较满意。好评,2017-12-05 07:28:12,1,0,5
j***e,铜牌会员,超出我的预算范围！实惠，拿出来挺高大上的！网速也快！反应快？,2018-01-10 08:26:30,0,0,5
c***9,钻石会员,给小孩买的，这是第三次购买了，一家人都喜欢魅族max手机。,2018-01-19 20:45:49,0,0,5
m***z,PLUS会员,魅族目前为止屏幕最大的手机，手机很轻很薄，机身整体圆润，手感非常舒服，前置指纹解锁很方便。双击屏幕点亮功能非常好，屏幕颜色靓丽，可以说比魅族pro5的屏幕颜色都好，原来买的pro5屏幕测角度看偏绿，魅族max没有，灰色很正。系统很流畅，给父亲买的，女儿拿着它玩游戏爱不释手，她自己的华为手机都不想用了。,2016-12-12 08:28:04,12,8,5
j***2,钻石会员,手机很好，屏幕很大是亮点。要剪卡，内存大反应很流畅。,2017-01-04 14:57:59,37,11,5
隔***C,银牌会员,收到了，很好用，当时就用了，从mx1，mx2一直用到mx5，信任魅族,2017-12-04 19:18:58,0,1,5
j***t,金牌会员,刚收到用着有点不习惯！照相很一般,2017-10-06 19:09:42,3,0,5
苏***2,PLUS会员,手机不错就是耗电量有点大,2017-11-25 10:40:53,1,2,5
j***0,金牌会员,真的很好66666666666,2016-12-09 12:06:00,33,11,5
张***明,金牌会员,魅族一直信赖的品牌！！！外观也很漂亮,2017-10-08 11:57:31,1,0,5
唔***颜,银牌会员,不如小米  屏幕太大电不够用,2017-11-15 04:42:25,0,1,5
jd_南方天气/mg,PLUS会员,第一次用魅族手机 到手外观非常的惊艳 屏幕清晰色彩正 电量下的快 可能是余电 先用几天看看电量怎么样,2017-12-17 13:38:35,1,0,5
向量01,金牌会员,壮哉我大魅族！帅哉我魅族大！大，而且充电快！充电快！而且掉电慢。赛过小米max2不说，更赛过小米系统，重新拿回魅族系统，真的感触万千。就像质而言，小米5也是不能比及的。高通又怎样，魅族在系统和硬件上的用心，真的是前无古人后无来者。魅族的这些神器，锤子的BigBang小米的应用分身啥的，以及他们都没有的许多程序，用起来真心感慨万千,2017-06-24 23:05:36,17,1,5
陈***3,金牌会员,哈哈哈哈哈哈，我是魅族发烧友。现在是第四个魅族手机了，感觉魅族运行速度很快了。外观设计和以前的几款有明显改变。,2016-09-15 19:46:58,12,11,5
纯***翼,金牌会员,手感还可以，6寸的大屏幕像平板电脑似的，工艺精致 简洁大方，这次我用魅族max手机，最为突出的是它那4000的电池，真实体验了一下，续航能力强 不耗电，3G运行内存   64G运作还可以，还有他那返回健是轻轻一碰home就行，不用按下去，感觉挺ok的，魅族一直一来颜值都是非常高的，真的合适青年  希望魅族以后有更多的创新，带给我们不一样体验。,2016-09-26 12:42:10,6,1,5
等***风,银牌会员,对比了好几家终于决定买个魅族的手机，老公跟弟弟一直用这个品牌，看了评价以后怀着一颗七上八下的心买了这款手机，货终于拿到手啦！昨天晚上我还担心了一晚上不知道手机好不好，当我看见手机以后各种喜悦与惊喜，果然没有让我失望，6.0的屏幕看起来时尚大气，还在使用当中，,2017-01-12 13:09:40,43,21,4
罗***s,PLUS会员,京东送货很快，上午买的，下午就收到了。之前从未用过魅族的手机，半个月前买了个魅蓝e玩玩，感觉魅族做工比较精致些，对mback键印象深刻。这个max做工很不错，背面是整块铝板切割，比荣耀note8和小米max好，屏幕黑边控制的很不错。就是魅蓝max装搜狗输入法麻烦些，不如用yunos系统的魅蓝e安装方便。,2016-09-16 08:54:16,14,7,5
s***5,PLUS会员,上手整体感觉不错，因为什么都没装，速度没问题，希望用一段时间也依旧如此，屏清晰度可以，上手质感给7分，下方指纹识别键手感有待提升，摄像头拍照给7分，没有亮点。,2017-03-17 13:37:42,16,7,5
n***C,金牌会员,物流相当给力、宝贝收到了很喜欢,2017-09-05 20:04:53,1,1,5
V***称,铜牌会员,以前用的魅蓝2，买手机从来不超过2000，毕竟手机基本一两年换一部，要那么好来干嘛，对手机没什么研究，在网上对比了一下，max 相对便宜，而且没什么特别的缺点，网友评论也还行，买了之后发现max的开机关机速度是真心慢，以前魅蓝2基本1分钟以内就可以了，max 要5分钟以内，充电会烫的毛病手机都有的，这个不说了，再有就是手机的充电速度挺快的，两三个小时能充满，其他的话，我不玩手游，对音质要求也不高，只是普通的单机游戏，听听流行乐，我觉得还是不错的，不过魅族max 自带的app 真是一言难尽，移动上网全打不开，只能重新去下浏览器和地图。,2017-10-09 19:01:59,4,3,4
京***丝,PLUS会员,屏幕挺好看的，魅族手机的系统确实很好用。已经习惯了，已经两部魅族手机了。note5，max，pro6s，是我最喜欢的魅族手机。????不过没这么多资金了。pro6s占时买不起。,2017-07-04 08:33:55,7,2,5
l***i,金牌会员,最早用魅族手机的时候是从mx2开始，那个时候觉得真的很漂亮，系统特别流畅。现在用魅蓝metal，16g内存，2g运行已经不能满足日常使用了。用习惯了魅族的系统，就在魅族手机中挑中了它（max）屏幕够大，内存够大，3g运行还不太过时。价格也适中！果断的选择了它，支持国货，中了魅族的毒呵呵,2017-04-03 21:40:38,5,0,5
荣***8,金牌会员,物流特别快，电量充足，充电快，大屏，感觉不错！,2017-08-24 18:14:45,2,1,5
r***1,金牌会员,用了一段时间，不打游戏速度可以，就是屏幕没保护膜，摔碎了,2017-11-27 14:14:17,0,0,5
冰封心静,银牌会员,手机很好，玩大型网游反应很快。声音大无杂音。像素清晰无论是自拍还是拍美丽的风景都很好！手机屏幕大看电视玩游戏都很爽。屏幕灵活通话清晰，不像有些手机通话短短续续的，这款手机值得入手。从价格来说这款手机就是惠民机，还有送的智能手环也很不错。,2017-03-06 12:34:18,3,2,5
藏***人,PLUS会员,用了一个多月了，整体比较不错，比我预期的要好，就是个备用机，机子很精致，以后还会考虑用魅族的，买个旗舰机试试。看看有什么差别，很好，很满意的一次购物。,2016-11-28 14:46:47,11,2,5
d***城,钻石会员,质量非常好，运行非常流畅。内存也很大，显示也非常清晰。。用后再评价。京东送货就是快，也服务非常到位。我话我要迟十几分钟先得闲收货。京东送货员就在我们厂前台静静等我出来签收。这一点就非常赞这个快递员了。认真负责任。,2017-03-20 20:41:09,7,2,5
j***0,PLUS会员,一开始以为p10不行滴，考虑好久，最后sn试了下真机流畅，flyme真心挺好用，买来当备用机绝对绰绰有余。要颜值有颜值要系统有系统，只是配置不高但绝逼不卡，考虑的小伙伴可以入手不亏，还有手环送,2017-03-05 16:29:36,1,0,5
w***1,金牌会员,先使用试试,2017-10-24 22:12:19,0,0,5
24K-Man,PLUS会员,感觉还行，毕竟是**元，试用一段时间再追加，先给五星好评。,2017-02-01 22:18:47,13,11,5
w***d,钻石会员,手机各样都不错 特别是外光 只可惜是屏幕颜色偏冷 偏绿色 现在国产的手机都是这样 只有苹果和索尼的手机不偏色,2017-07-12 19:45:05,4,0,4
5***m,金牌会员,买了两台手机分别是U20、Maⅹ。非常好用，运行速度快,2017-10-07 22:56:57,0,0,5
6***滔,金牌会员,快递就是给力，手机没发现什么问题，给老妈用,2017-08-08 10:05:59,1,0,5
j***j,金牌会员,"老公特别喜欢  这个手机屏幕够大 而且手感好喜欢大爱
要是便宜点 亲民就更好了 我再去啊！没有给我赠品 为啥魅族连耳机都没有哇 贴膜也不给我送",2017-06-19 21:34:41,3,0,5
j***南,银牌会员,"一款很棒的手机，字体大小很合适，清晰度高，拍照也漂亮
6寸屏看起来很大气，看电影特别爽，运行速度很快，最主要是内存足够，超能装的，大爱啊!",2016-12-10 10:23:44,8,3,5
