名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
青***衿,银牌会员,*只要799 但还是相信京东的品质 899买的 跟店里买的没区别 内存32G的手机拿到手里只剩20G差不多可以用 手机自身的软件太多了吧。其他的都挺好的 流畅，充电手机也不热，棒 。,2017-11-11 23:21:25,13,24,5
j***t,PLUS会员,这个魅蓝闹特五，我够与京东。大概一个多月前现在之所以评价是因为用一段时间。再来评价才能测出刺激的性能。首先说续航司机4100毫安电池续航给力一天完全无压力5.5屏幕可以满足大屏需求系统方面魅族的系统，也就是公认最好用的系统。再说机器的性能联发科p幽灵日常使用足够了只要不运行大型游戏总体来说千元机达到这样的效果，完全可以了。,2017-10-24 23:48:37,31,19,5
老***茶,银牌会员,体验还是不错的，对得起这个价位，快充＋工艺，快充、手感与我pro6还是差很大的，毕竟手机不是一个等级，不过学生党买个魅蓝note5玩玩非常不错，也值了，玩游戏也没什么压力,2017-03-30 13:22:38,195,92,5
jd_155050zuw,铜牌会员,真的很不错，非常漂亮，而且性能也非常好，买给女朋友的，很喜欢。,2017-10-05 21:04:43,12,4,5
j***e,金牌会员,这款手机第二次购买了！好用！查对过是正品！性价比高能接受也喜欢！电池杠杠滴！拿上手舒服！推荐中端机良心用品！老板态度很好！京东快递快第二天早上就到货了！特别特别感谢快递小哥送货上门来公司里交本人！不错！,2017-04-01 13:13:28,88,49,5
D***呐,银牌会员,可以可以，用一段时间再来追评吧，???????,2018-02-23 14:58:29,0,0,5
胖***斌,金牌会员,买来送人的！手机性能不错，在千元机里感觉很超值！最开始打算买VIVO或者荣耀，不过咨询了一下发现后壳和边框全都是塑料的！对比了一下魅族，全部金属材质！毫不犹豫选择了魅族！价钱也合理！唯一不足就是左侧有点轻微小剐蹭，也不太明显！不过套上硅胶壳也看不出来，也懒得退换了！,2017-05-11 23:27:34,1,0,4
1***l,银牌会员,非常棒，已经是第五个魅族手机了,2018-03-09 16:52:06,0,0,5
日***林,PLUS会员,商品还不错，值得大家购买，下次再来，推荐大家,2017-08-17 09:17:09,1,0,5
j***8,金牌会员,超级不好用，不能退出软件，要么关网络，要么强行停止，脑，残的外观设计全是一个鸟样，还预装了一大堆垃圾，可删除掉的只有5个，29G的总内存被这些垃圾吃掉了8G多门内存，到手只有21G可用，以后买手机还是买原生系统的好，不会被装上一大堆乱七八糟的垃圾，内存也可以多了将近10G,2018-02-17 15:01:14,1,0,5
j***5,铜牌会员,死机电不经用，自动耗电,2018-02-24 14:04:44,1,0,5
f***2,金牌会员,此用户未及时评价，系统默认好评。,2018-01-16 09:19:29,1,0,5
H***n,PLUS会员,好机，好用，可以的,2018-02-21 18:58:22,0,0,5
楠***n,金牌会员,"手机下错，去年本来二度抢到note5的,但是怕首批用户有问题所以没买，现在买到还贵**块，有点后悔当初的决定了！手机颜值高，手感好……做得考虑！另外，金色有点偏红铜色，其它都不错",2017-02-14 09:05:23,2,0,5
j***l,PLUS会员,当时在华为和魅族中选，最后定的这款，还不错，好用,2017-06-02 09:37:27,1,0,5
j***d,金牌会员,魅族品牌还行，我一直在用，值得信赖,2018-02-26 21:45:03,0,0,5
z***g,银牌会员,手机配件齐全！功能外观各方面非常理想,2018-03-05 22:24:06,0,0,5
_***浅,银牌会员,买给家里人用的手机，之前考虑过华为荣耀6A，红米4X，最终还是选择魅蓝note5。喜欢魅族的做工和系统，当然最重要的还是超高的性价比。小米性价比也蛮不错的，但是一直对小米的质量不怎么信任（个人感觉）。华为6A呢，应该比较耐用耐摔一点吧，但是那个虚拟按键特别不能接受。所以选来选去还是魅蓝了，屏幕大，颜值高，正面指纹解锁，2.5D玻璃…这个价位这样的配置，确实可以了。,2018-02-13 16:13:05,0,0,5
l***0,PLUS会员,看了好几款配置差不多的，最终选择魅蓝，性价比超高，物美价廉！,2018-02-09 21:42:45,0,0,5
