名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
jd_187461iou,银牌会员,说实话  京东自营的手机 性能  性价比  在同等价位手机相比 还是比较高的  七百元手机  联发科 CPU  P10 八核  分辨率1920*1080  中端  不错了  外观设计不错  给我妈买的  不玩游戏足够  之前看了好多这种价位手机 不是颜值低 就是CPU太低端 怕上网卡   买这款  我是中合了  外观和实用两方面考虑的   手机昨天到的运行还可以  我建议能不能下次把手机表面污垢擦擦  让我们消费者看到干干净净的商品  不影响购买 打开包装那一刻的好心情 那种期待与看到商品表面灰尘失落的反差  让人心里不舒服  我用防尘布擦的  手机指纹键下面 蓝色斑点擦掉一些 还有一点蓝色擦不掉的   提醒和我一样购买这款手机的消费者 充电时 呼吸灯是不亮的 和别的手机不同  我还以为是坏的  充满电才闪灯提前  ?,2018-01-02 09:09:46,2,5,4
L***L,银牌会员,给家人买的，目前用的还可以，就是买时只有这一种颜色。,2017-08-20 15:20:33,20,11,5
淡然-洛伊,金牌会员,一分价钱一分货，这款手机是物有所值，手机的功能很正常，也没出现什么问题，就是经常会出现王者荣耀更新出问题安装不了情况  应该与运行内存不足有关,2017-12-31 14:12:21,3,0,5
j***c,铜牌会员,非常好，很清晰下次再买,2018-02-23 16:19:49,0,0,5
y***6,PLUS会员,很好，特别喜欢，有裸机的感觉，手感也舒服，经常买的，会一直支持的，么么哒,2018-02-25 21:33:19,0,0,5
y***白,银牌会员,买给老爸用的，买了一个多星期了才评价，我拿来玩了一会感觉还不错。,2018-02-12 11:41:18,0,0,5
滑德玛西亚之大稽,PLUS会员,感觉快递盒子缩水了，以前买手机外面的盒子小多了，宽度刚好放下，不浪费一点纸源，这是京东买的第四个手机了，去年十一买的那台魅族魅蓝u20，漆百捌拾元，现在伍百玖玖减叁拾合计5空格 6 空格9   2333，手机还行，就是电池不耐用，还是看中了她的外观，双面玻璃加金属中框，flyme系统和miui半斤八两，主要是便宜，也够用，这快递盒子缩水严重，望改进,2018-02-04 19:31:33,1,0,4
S***3,金牌会员,"第一部智能机买的MX2,现在还是换魅族U20",2017-12-02 21:08:28,2,1,5
滑德玛西亚之大稽,PLUS会员,第一次用魅族的手机，感觉还不错，我是冲着外观买的，双面玻璃加金属边框，很不错，很漂亮，就是发现下面只有一个home键，没有返回键和菜单键，还不习惯，还有感觉有些轻，没有份量些，指纹解锁很快，和两千多的解锁的速度一样，也一直信赖京东，这是京东买的第3部手机了。下面上图,2017-10-03 15:58:24,1,0,5
上***6,金牌会员,第一次买魅族手机，小的时候第一个mp3就是魅族的，超级好音质，很喜欢。手机性价比挺好的，作为备用手机用的。三星，苹果，诺基亚，都用过，现在反而更喜欢用国产的，第一次用魅族不错。,2018-02-15 15:04:30,0,0,5
