名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
京***生,金牌会员,"1.炫光2.5D玻璃工艺和铝合金CNC中框圆润过度、相得益彰。手感、颜值非常出色。
2.Helio P20(MT6797)16nm八核A53，实测基本是火力全开的调度机制。日常使用流畅度高，王者荣耀平均帧率29，功耗控制优秀。
3.强烈建议升级最新Flyme体验版，功能更加好玩。
4.TDDI屏幕相比普通千元机简直是碾压，1080p分辨率也属于全高清。SONY IMX386这颗CMOS基本是PRO6Plus同款了，只不过MTK的降噪算法有待提高。
5.美中不足的是摄像头略微有凸起，前置mBack键按压手感不佳。
总结一下，把这款产品放到1500元价位，绝对是一个强劲的选手，在各方面相较于红米4X那些机型都有一个质的飞跃。不过要是放到1700这个价位段的话，相较于竞品小米5、荣耀8等就有些逊色了。",2017-06-25 22:24:43,200,79,5
o***g,金牌会员,双面玻璃真的很漂亮，沉甸甸的很有手感，买来当备用机，5.5的屏拿来看剧也很不错。不过用了一会儿摄像头周围有些发热，看评论说屏特别容易碎，要格外小心，最好手机壳和钢化膜都要有，总之魅族魅蓝系列性价比算高的，不错。,2017-09-30 19:13:55,68,8,5
n***d,PLUS会员,一定要更新最新系统！之后你就享受媲美ios的流畅度，加上夏普屏，宛如4s放大版的前后玻璃，你不会相信这是一部不足千元的手机，六星推荐！,2017-11-12 15:18:40,19,1,5
李***7,银牌会员,手感挺好的，刚用试试看吧，好用追评,2018-02-25 21:41:51,1,0,5
火***v,钻石会员,哈哈，何师傅很不错。点赞，你们看见这包裹上的字就明白了——好体贴！我是叫他直接给我放在到巴中的车上的！我在中途拦截！因为派送到我们这边至少都是下午了！我寄的用，所以才这样！手机不错，我才升级flyme6，看看用起来怎么样！颜值和像素没的说，还有屏幕也安逸！！哈哈你们懂得！,2017-10-04 13:06:53,14,4,5
杨***哥,铜牌会员,用了一下午  觉得还不错  京东还是挺快的  一天就到了  玩王者荣耀   也还行  就是没有蓝色的 可惜了  不过白色也不错   照相也清晰  总之还是满意  看看可以用多久不卡顿。,2017-10-08 21:51:52,5,1,5
j***3,钻石会员,才889买到这么好手。支持魅族。,2018-01-12 19:44:46,3,2,5
l***7,PLUS会员,手机做工不错，整机没什么接缝过大的现像，就是电源键松动明显，HOME键按压手感不好，略显廉价！屏幕效果很好，千元机里最好的屏幕，没有之一，清晰通透，色彩艳艳，不愧是夏普屏，但也略有瑕疵，就是屏幕顶部中间区域发红，白色背景下明显，但能接受，外放声音也挺大，音质也还可以，拍照没怎么试，应该也会不错，还有不得不说的系统，非常好用，流畅度高，不玩大型游戏的话足够了，续航还可以，中度使用能坚持一天，总之，这个价位太值了，强烈推荐！,2018-03-05 23:32:02,0,0,5
小***尛,银牌会员,我这是第二只魅蓝x  我自己是黑色的  给我妈妈买的是金色的  然后今天屏幕碎了听说   不过还好买了碎屏险   我自己买的摔了几次都没问题  不过质量还可以,2017-12-06 18:00:58,7,6,5
一***年,金牌会员,挺好用的，手感不错，给爸爸买的，他们对配置没什么要求，这个挺划算的,2018-03-06 08:48:45,0,0,5
j***l,铜牌会员,做工不错，手感好，系统流畅度可以，电池比较耐用，屏幕和拍照跟我现在用的G5差距比较大，整体来说性价比高！,2018-03-09 10:36:00,0,0,5
邓***儿,银牌会员,上午下的单，下午到货，神速。手机不错，很漂亮，用了一天，感觉还行。,2018-03-07 16:29:20,0,0,5
相***3,PLUS会员,魅蓝X双面玻璃机身，嗯外观做工真的很好，手感也好，摸着温润如玉，夏普的屏，显示效果好，是魅蓝手机做工最好的不为过，唯一不足不支持SD卡，性价比非常高，推荐购买。,2018-03-09 16:12:11,0,0,5
jd_weizehao,PLUS会员,外观漂亮。很薄，运行流畅。。。。,2018-03-06 21:26:12,0,0,5
郭***8,铜牌会员,第一眼看到的这部手机的时候很惊讶，外观优美，吸人眼球，在这价格上实在太物美价廉了，超好超赞，不愧是青年良机呀?，手机像素（后置）也不错，声音有点小，手机旁边的开关键和音量加减键按着不舒服，总体来说，建议大家可以选择这一款手机（手机还是快充的，有指纹解锁）,2018-03-07 15:39:50,0,0,5
1***p,PLUS会员,昨天刚拿到就开始使用了，说实在的，魅族品牌的手机确实好用,2018-03-06 20:10:15,0,0,5
h***9,银牌会员,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢京东，说实在，这是我京东购物来让我最满意的一次购物。无论是态度还是对物品，我都非常满意的。态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向京东表示由衷的敬意，这样好的态度可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的。,2018-02-26 20:04:02,2,0,5
A***y,金牌会员,手机不错，双面玻璃，手感杠杠的,2018-03-09 10:11:48,0,0,5
骑***_,金牌会员,一次买了2部，颜值不错⊙▽⊙,2018-03-06 18:56:18,0,0,5
