名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***8,钻石会员,不错不错，给力给力，比note5又进步了不少，前置高像素美颜相机，后置双摄像头，高通CPU，买买买，note5可以退休了！,2017-10-02 13:55:49,34,23,5
j***0,PLUS会员,"手机是正品行货，收到货后官网查询了，经过这一个多月的使用，魅蓝note6续航不错，重度使用一天电量足够，flyme
系统挺不错的，本人使用，搭载快充，从0到100一小时45分钟充满，相机拍照比我的红米note3,360N4S拍照好。这一个多月的使用，基本满意，有一点不足，就是木有红外遥控。",2018-01-26 11:33:58,1,2,5
jd_159393lob,铜牌会员,双十一买了很多东西，这是第二个收到的快递，给京东快递点个赞，手机没有想象的那么厚，手感挺好的，送给老人用的，家人挺喜欢，速度反应很快，很愉快的一次购物,2017-11-15 08:29:21,10,5,5
N***1,银牌会员,手机真的不错，屏幕清晰，运行流畅，电池也挺耐用，充电速度快，做工精细，指纹识别迅速，份量挺重，暂时还没发现别的毛病。,2018-01-12 14:51:54,1,5,5
怪***杰,PLUS会员,没有评价和网上说的门门道道。我菜鸟是看不出什么问题。。,2017-11-28 08:03:58,8,3,5
j***笙,铜牌会员,之前在实体店买过同款。现在京东降价，再买一个给家人。质量保真。没毛病。就是手机膜自己贴残了，起了好多气泡，先凑合用，等年后再买手机膜。,2018-02-07 15:55:23,0,0,5
j***4,银牌会员,刚收到，物流超快，先换完机试用一阵子再追加评价，顺带提一下，店家后台的服务人员是不是都睡着了，问了问题总是机器回答有没有什么能帮到您的，得整顿一下了，现在这么竞争的年代，拼的就是服务，您说是吧！,2018-01-03 13:08:21,0,3,5
j***t,银牌会员,膜还没揭，还没联网，回去试一下充电看下会不会很烫，不怎么掉电，视频上面不是本人，本人比他帅多了?,2017-10-17 11:14:04,32,8,5
许***6,PLUS会员,老煤油了，从mx2开始买过6部魅族手机，去年被Pro6坑死，发誓再也不买联发科的机子，Pro7令人失望后没想到很快就出了搭载骁龙625的note6，感觉魅族要崛起了？说说手机，做工还是一如既往的优秀，即便是千元机也没有太过廉价的感觉，边缘没有像Pro系列做成圆滑的，稍有搁手，可能是出于成本原因，不过反正都要带保护套，也无所谓了。阔别一年重新体验Flyme，依然是那么精致顺畅，先前用了两个月小米mix，MIUI9确实更加流畅，但总感觉不符合我的使用习惯，系统功能是挺多，但分布得太乱太杂，不像Flyme有条有理，想要什么功能立刻就能找到。安装完常用APP后试用了一下，应用打开速度很快，甚至有的超越了821处理器的mix，原因不明。16G的存储略微捉襟见肘，系统就占了6G，装完软件就剩5G多了，平时不玩手游，这配置也够用，实在空间不够就加个存储卡吧。期待多年的高通骁龙+魅族强强联合！今年最好的一部千元机拍照千元机无敌买到赚到谁用谁知道；,2017-09-02 15:55:15,42,21,5
无***无,银牌会员,拿到的第一眼很惊艳。千元机能这样，很不错。缺点就是喇叭放到最大声，有点沙。买的4+64的，系统就占了尽十个G有点小坑。其他很不错，王者很顺畅！,2017-12-21 21:37:19,2,3,5
j***y,金牌会员,跟照片上的一模一样，我很喜欢，,2018-02-03 00:49:02,0,0,5
j***w,银牌会员,"首先要说的是，京东的快递这次一般啦！3天了才到货，快递小哥非常的客气，服务态度很好！对自己的工作尽心尽职，这个很值得我们大家学习的！??
那么来说说这款手机的意见吧！此款手机的设计款式新颖，真的很适合青年人拥有，虽然本人拿到货了，也在试用阶段，在此期间，本人所感觉到的是，手机真的耗电非常大，我都把屏幕亮度调整了，后台平时不用的程序也关闭了，还有点击屏幕，然后打开里面的那个振动键盘也关了，始终还是耗电非常快，真的不好啊！还有主屏的分辨率可能都达不到标准的，我拿来跟oppo的手机和华为荣耀畅玩5A的作比较，真的太差了吧，还有蓝牙的接受反应都很慢哦！在此，我希望厂家对此问题加以改进优化，更期待魅蓝越做越好，永远都活在我们年青人心中吧！！！",2017-11-10 00:21:29,2,6,5
你***腻,金牌会员,用到目前都没有什么问题，用来作为备用机和看电影使用，,2017-12-13 14:45:56,6,12,5
j***h,银牌会员,不卡顿，用起来很舒服，就是物流太慢了，不过值得了，等试用一两天再来评价，,2017-11-03 22:29:06,13,4,5
j***e,银牌会员,挺漂亮的，用了两天才评价，电池挺耐用,2018-01-26 18:18:22,0,0,5
风***9,金牌会员,"给老婆买的，是正品，第一次用魅蓝，觉得挺好，运行流畅，功能强大，像素也很好，手机电池也很耐用，4000ma大电池给力，不愧千元机之王，店铺活动力度也大，双十一前买的才1405,京东自营要1500多，省下将近200元。店铺值得信赖，希望店家给大家带来更好品质的手机。",2017-11-23 09:24:04,0,1,5
大***5,铜牌会员,用了6天好像。。。本机自带占内存5g左右，。。我觉得好神奇的是，手机厂家给我换了2个耳机都是按键没有作用。。。让我可以把手机一起寄回来维修。。。但是我用其他耳机是可以的。。手机速度啥的，我也不太懂，反正用着感觉还行，,2017-12-30 10:24:11,2,1,5
淡***_,铜牌会员,嘿嘿，我的魅蓝note6终于等到了，东西很棒~ 喜欢这黑色很好看，就是发货有点久催了下客服，过几小时就发货了(客服别介意哈(｀?ω?´))东西是正品，包装的很好~(┌?ω?)┌?5星送上。,2017-11-05 16:09:54,4,2,5
爱***R,铜牌会员,反应还是挺快的，只是里面系统自带的软件有点多，有的可以用，有些用不到的，外观也漂亮，充电2小时以内，像素也还好，性价比确实是很高的，京东物流也是可以的3天内收到货，包装完好无损,2018-02-05 11:31:39,0,0,5
d***6,金牌会员,手机真心不错，看了好多评测才选的note6，性能强大，千元手机强者，虽然没用过荣米的那两款同价位手机，但感觉比荣米好点，目前没什么毛病，希望魅族越来越好！！支持国产！！,2017-12-20 18:59:45,0,1,5
z***4,银牌会员,魅族手机今天收到，快递也挺快的，刚刚拿到使用一段时间再来评价，第一次充电有点发热，以后看吧，谢谢老板送的赠品,2017-10-13 20:29:56,6,1,5
E***迅,PLUS会员,对标5X在用，帮人买的魅蓝note6。屏幕效果好过5X好几倍。屏幕色温魅6无级可调，全贴合屏幕更加突显，不下沉。色彩好过5X.魅6有疏油层5X无。黑边小于5X.同是4G小卡。魅6强于5X。和功能机的信号一样。WIFI-5G信号5X好。内和外放5X好。散热因魅6用了铜薄和石墨贴好于5X。使用中，魅6有感微热。高通快充明显热过5X两倍以上。所以散热工艺是为快充准备的，日常使用，主板小量发热也可以散走，提高寿命。5X-5V2A充电手感不太热而充电头很热，其实是5X手机散热工艺差，散不出来。主板寿命不长。魅6带网孔套比较好。快充的缺点就是整机太热了，电池寿命短，日常最好换为纯5V电源，应急才用快充。系统上，魅族系统太简单了，你要适应它，越用越顺手。小米会适应你。越用越智能，各有千秋，流畅性米柚好很多。魅6下拉两次居然没有系统设置。比较大的缺陷。纯简大图标老人机模式，简直浪费了这么高素质的屏幕。拍摄效果，5X有光学两倍变焦。焦内成像很一般。颜色准确。。魅6焦内成像对标1/2.3英寸的索尼卡片机，颜色失准刻意的加强色彩饱和度讨好眼球，魅6比较重，不黑不吹，给后面的购买人一个中肯的建议。,2017-09-02 16:05:30,38,12,5
小***兄,金牌会员,好玩，就是发货慢，下订单了要两天才能发货，快递速度还可以，备用机可以入手，哈哈，不过使用时会有时出现卡机！图片发型忽略。。。,2018-01-09 07:17:33,0,3,5
f***e,银牌会员,真正的青年良品！手机很好用，值得拥有！店家的包装很到位，用的充气袋子，赞一个！京东快递一贯的好！赠送的机壳有点松，耳机的品质有待提高，总起来说是一家值得信赖的店家，全五星好评！,2017-09-17 22:09:42,9,3,5
jd_180*****731,银牌会员,不错不错，挺喜欢的，给老公买的，老公很喜欢哟。很适合男士用！挺有重量感的。物流有点慢哟，八天才到！！！,2017-12-18 18:51:46,1,1,5
唱***地,金牌会员,给老妈买的，她超级喜欢。手机很流畅，指纹解锁秒开，flyme的系统也很棒！满分好评！,2018-01-31 14:15:51,0,0,5
w***s,PLUS会员,"用起来美滋滋。
非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。顺商祺！
Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong customer service is also very good, to solve customer suffering, overcome all difficulties. Give us a very good shopping experience. Shun Kei kei!",2017-11-10 14:22:46,0,1,5
s***1,金牌会员,手机挺好用，今天刚到的，原来用的小米手机，这个魅族比我的小米快很多，屏幕也挺清晰的，值得购买！！！,2017-10-09 20:28:25,1,4,5
璀***丽,银牌会员,东西挻好的，也挺快还有配件呢！给个五星好评，东西值得购买。,2017-10-06 14:28:22,3,2,5
晓***舞,银牌会员,还没用，为什么手机套和钢化膜不是一起送过来？,2018-01-03 11:26:50,1,1,5
j***j,铜牌会员,很不错，良心产品，功能强大，外形漂亮，你值得拥有。,2018-01-03 14:28:41,0,1,5
莎***恰,铜牌会员,跟描述的一样，物流很快，包装很好，很满意！,2018-02-28 13:48:58,0,0,5
jd_406696443,金牌会员,这是第二部了  手机没什么问题  很好用  手机很漂亮  很有性价比,2017-12-12 20:58:32,0,1,5
j***e,银牌会员,拍照很完美，电池巨耐用，可以说非常物美价廉了！,2018-01-24 18:13:49,0,0,5
疯***D,PLUS会员,手机收到了物流快服务好手机也不错,2017-11-07 12:22:19,2,1,5
8***渺,银牌会员,全家人都用的魅族魅蓝系列，一共四个手机，这是才换的，因为原mx5内存确实不够了，当备用吧，note6确实让人惊喜，只这个价钱了，你想怎样？还想送头大象给你？,2018-01-09 15:11:42,1,0,5
孫***g,银牌会员,很好不错  给老爹买的  66666,2018-01-02 17:01:10,1,1,5
j***e,银牌会员,手机挺好用，特别好看，喜欢的赶快下手吧,2017-11-15 07:10:29,3,4,5
d***i,金牌会员,刚刚拿到手，手感很好，太喜欢了。,2017-09-28 18:55:06,4,1,5
怪***尼,银牌会员,感觉还不错，很轻的感觉，用久再追加,2018-03-03 11:42:30,0,0,5
j***6,银牌会员,不错  只用魅族系列的手机,2018-02-14 16:37:35,0,0,5
j***7,银牌会员,手机用着还可以发货快，支持国产,2018-01-14 22:43:36,0,1,5
j***x,铜牌会员,牧申数码京东店，信誉好。,2017-10-14 11:12:05,2,1,5
吃***鼻,铜牌会员,不错，验过货了真的,2017-12-24 14:49:34,1,6,5
