名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
D***丶,银牌会员,"手机是双十一那天买的，本以为拍到了好东西，结果送过让人大跌眼镜。手机边角刮花了，而且膜也没贴好可以看到有明显的气泡，包裹手机的盒子也是比较旧没有那种新亮感，有被拆过的痕迹（可以在视频那里看到），有种二手手机的感觉。本开想刮花了一点也没什么，不影响手机使用就好了，结果充电的时候才发现最多只能充到93%。无奈，只能向客服申请换货，结果客服的态度也是很差，说这是京东送快递的问题，说是运输图中磕到了，要我找京东赔。我就纳闷，磕一下把边角磕花了还说的过去，但能把电池磕成充不满电？手机不是经过耐摔检测吗？这才一下就不行了？再者，再怎么也不能把贴膜磕出泡泡吧？我觉得这很明显是手机质量的问题。我跟客服说希望换一台，结果客服把电话直接挂断，我再打过去也没有接，态度很差。
如果不是因为客服的态度难以忍受，和手机确实存在质量问题，我也没有空写这么长的评价。并没有闹事和诋毁店家的意思，我只是希望店家能给我退货或者换一台新的给我，给一个合理的答复。",2017-11-15 19:13:45,25,8,1
j***5,银牌会员,今天刚收到，反应很快，很流畅，就是物流慢，还送了耳机，钢化膜，塑料外壳。总体来说不错的手机，待以后再追加。,2018-03-04 10:13:33,0,1,5
j***5,银牌会员,不错哦，就是手机特别好，反应特别快。而且妈妈也特别喜欢我一直信赖魅族这个品牌。好用又不贵,2018-03-08 13:13:49,0,1,5
x***d,PLUS会员,"手机已签收,快递给力隔天就到了，包装完好，手机漂亮手感很好,看着大气。开机运行速度快,相机照相清晰。听了下音乐音质还不错。玩了几把游戏运行速度快没出现卡顿。第一次买魅族,相信以后会喜欢上它的",2018-03-07 15:53:09,0,1,5
j***d,铜牌会员,手机很好看，和图片上的一样，是全网通的不卡运行也很快拍照也清晰网速也快，用了一天才来评论的，非常满意！物美价廉，价格很适合我们学生党。,2018-03-05 17:09:43,0,1,5
b***丶,PLUS会员[试用],外观漂亮，速度也很快，个人感觉真心不错，值得购买。快递很负责。,2018-03-05 14:54:09,0,1,5
j***j,银牌会员,手机真好用啊，还送了很多东西，像素非常好，拍的照片非常漂亮。,2018-03-04 11:30:11,0,1,5
天下第一北,银牌会员,很漂亮，性价比非常高，帮厂里工人买的，他很喜欢呀。,2018-03-08 14:52:55,0,1,5
j***b,铜牌会员,第一次用魅族手机，系统流畅。用着很舒服。感觉比我以前用的华为的都好。。而且有超大字体模式。不用了给家人用也很好。。。拍照清晰。。。。。总之是超有性价比。真实评价绝非作假。。犹豫的亲们就不要犹豫了。。。4000毫安超大电池我现在能用一天半差不多。比较好。。。呵呵。。给京东跟店家点个赞。。,2018-03-06 15:27:47,0,1,5
j***e,铜牌会员,丶拿到货到今天一个星期都没有喇叭就坏了客服一直都是系统在回复我现在要换货也没有人理我一直都是系统郁闷,2017-11-22 13:44:23,6,1,1
