名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***w,铜牌会员,这是送给我妈妈的，外形还可以，设备功能的话反应也挺快的，送个手机壳也不错，性价比可以，建议亲们可以购买,2018-03-07 21:21:46,0,0,5
百***顺,铜牌会员,手机还不错 备用机配置够了 物流不快也不慢 刚刚好,2018-02-24 14:37:37,0,0,5
jd_137026cnr,铜牌会员,买来父母用的。感觉还算可以吧！,2018-01-28 15:53:54,2,1,5
就***王,金牌会员,性价比还算不错，就是有点旧。SIM卡槽是旧的，有色差，*你知道的,2018-02-27 12:50:30,0,1,5
常***花,银牌会员,包装很讲究，外面有塑料泡包着，全方位保护。手机包装很精致，也很精简，手机，说明书，和充电器。5.2大小拿着手感最好，使用也不感觉小，运行还是挺快的，电池续航只能用着再感受了。总体感觉很满意。,2018-03-05 10:01:54,0,0,5
j***b,铜牌会员,这款魅蓝5手机外观大气，才五百多块，性价比超级高，物流这个必须给点32个赞，还在春节假期下单不到3天就到了，真心快。手机是给老爸买的，老爸爱不释手，非常喜欢。,2018-03-02 10:01:44,0,0,5
O***O,钻石会员,给叔叔买的。照相清晰屏幕效果还可以。,2018-02-25 10:50:20,0,0,5
自***生,PLUS会员,给岳母买的，遍寻三网，这家性价比最高！手机怎样目前我就不知道了。不过我想老人家用，应该是蛮好了,2018-02-09 11:21:26,0,0,5
j***b,金牌会员,外观一如既往漂亮  充电很快  刚用反应也挺快，给长辈用  足够了,2018-03-06 16:42:22,0,0,5
d***g,铜牌会员,目前很好用！！刚到手各方面都OK。不过续航能力不强，像素一般，但是总体还是可以的(灬ºωº灬)能下不少软件之后还开楚留香而且目测不卡嘿嘿,2018-02-24 15:06:39,0,0,5
g***D,铜牌会员,还好！买给老人家用，挺好的！,2018-02-24 21:33:25,0,0,5
Y***B,银牌会员,物美价廉，电池待机时间长，上网也快，操作简单。是个不错的手机，也用了这么久，打游戏还是那么流畅，一点都不卡顿。值得拥有！,2018-02-26 16:50:35,0,0,5
j***c,PLUS会员,全网通并不是公开版的全网通。除了这一点其他的都还不错，物流也挺快。总体好评,2018-01-22 21:13:38,3,2,5
j***u,PLUS会员,使用中，还可以啦！我的问题帮我解决了，工作人员比较好能耐心解决你的问题！下次在来买这家店！,2018-02-04 19:14:04,1,0,5
S***w,铜牌会员,一分钱一分货，我不能用这手机，看着眼镜疼，这手机不卡，还可以,2018-02-06 20:19:41,1,0,5
我***丶,铜牌会员,不是有指纹啊。客服怎么能骗人家呢○|￣|_,2018-02-21 10:15:59,2,0,5
慈***菡,铜牌会员,送了手机壳，快递员服务也很好，很满意的购物,2018-02-20 14:06:32,2,0,5
s***5,钻石会员,手机不错 用着也舒服  重量很轻 拿着合适  速度还好,2018-03-01 19:39:36,0,0,5
j***a,铜牌会员,手机不错，是正品价格便宜值得买！,2018-02-23 10:50:17,0,0,5
j***b,铜牌会员,真的还阔以，没说假话，可以，meizu手机真的还不错，只是物流慢了点，毕竟年货节嘛，打王者也不卡，我觉得手机很大耶，也许是我手小哈哈,2018-02-11 09:19:58,2,0,5
z***5,金牌会员,快递速度快，服务态度好，手机流畅,2018-02-03 12:14:30,0,0,5
j***f,铜牌会员,发货十一天到货，悲催,2018-03-07 12:52:12,0,0,5
j***9,钻石会员,手机还可以，老人家好高兴！！居然帖幕四面都离开了，完全粘不上！,2017-02-21 22:26:50,1,1,5
