名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***a,银牌会员,"手机外观不错，但按键有问题，比较松动，我想退货，然后现处于春节期间又比较麻烦，那就算了。内存回来后只有22g,设置中的关于手机介绍又不太详细。总体来说一般般吧。",2018-02-22 11:24:40,0,1,3
j***7,银牌会员,手机收到了，发货速度一般，手机还是挺不错的，，我也前也是买的魅蓝的，不错支持,2018-03-08 09:02:06,0,0,5
j***k,银牌会员,挺好的，就是按键松动，其他还好,2018-02-27 18:05:33,0,0,5
j***2,金牌会员,手机不错，正规包装，虽不是新款但性能够用，价格也合适，唯一就是我记得点了发票但没有收到，也没有备选信息，这点没有猫好使啊，，，，，，忘改进,2018-03-07 16:18:51,0,0,5
T***M,金牌会员,这是我家第二个同款手机了，质量好，性价比高。,2018-03-01 10:32:04,0,0,5
j***0,铜牌会员,运行内存是32级号，来的时候是29计，但是已经很好了，然后呢，用的时候也非常流畅，也没有出现任何的毛病，唯一不满的就是耳机问题，希望店家下次可以注意，然后呢，嗯可以有更多的人来这里买货。真心的推荐给大家。,2018-03-06 20:06:34,0,0,5
j***b,银牌会员,刚拿到手，还没怎么用,2018-02-28 21:09:30,0,0,5
j***m,PLUS会员,喜欢京东物流的效率 服务，昨天买今天就到 赞一个,2018-03-01 15:41:50,0,0,5
小***_,铜牌会员,外观很漂亮，果然是魅族最好看的一部，手机相当快，只是不能判断是我网卡还是手机介绍的所说的天线啥的有关东西，感觉上网有点点卡顿,2018-03-05 15:20:09,0,0,5
笑谈年华L,银牌会员,4，5天才到，联系卖家又经常不在线，还有耳机孔有点那个，有点难插进去，几百块钱就这样了，要求高点的可以不买,2018-03-03 14:42:02,0,0,5
m***H,铜牌会员,总体价格还是可以的，毕竟一分价钱一分货吧！这个价位的手机还是可以了,2018-03-06 21:19:27,0,0,5
j***x,铜牌会员,手机运行速度很帮，音质不是太好，其他一般！这个价位很值得,2018-03-05 13:14:09,0,0,5
叫***好,银牌会员,还好吧，这么便宜，也就这个手机了，很好用，建议购买,2018-03-04 11:34:27,0,0,5
P***X,铜牌会员,手机反应速度还不错，电池续航能力实在一般，像素还好,2018-03-02 21:31:00,0,0,5
ByijITFFYNUD,铜牌会员,还可以了，和图片一样，就是音量键和开机键有点松动。,2018-02-28 16:33:24,0,0,5
j***3,铜牌会员,手机还好，耳机不行。没送什么东西，差不多裸机,2018-02-28 12:39:03,0,0,5
古***马,金牌会员,"手机总体还不错，价格比正常买的低很多。但是有基础不满意。
1，不是通用全网通版本，发货的是移动定制版，这应该也是比其他店铺便宜的主要原因。
2，耳机孔是坏的，买回来一开始没注意试听，过了两天我用耳机才发现耳机孔是坏的，非常难插进去，插好以后声音是有问题的，杂音特别严重。
所以，总体评分一般吧。",2017-11-20 13:01:03,0,1,3
海***关,钻石会员,这个手机还可以吧。。。这个价格好便宜。,2018-03-09 11:20:20,0,0,5
f***X,铜牌会员,还行，用起来不卡，电量挺久的，性价比高,2018-03-05 15:40:15,0,0,5
j***0,铜牌会员,非常满意，手机质量很好，物流也非常快,2018-03-02 00:16:09,0,0,5
T***A,银牌会员,手机不错，非常好用，下次还买魅族,2018-03-03 23:37:16,0,0,5
j***7,铜牌会员,内存挺大的，祝京东生意越来越好,2018-03-06 13:46:03,0,0,5
g***0,金牌会员,手机刚拿到，拍照很清楚，很好,2018-03-08 14:18:21,0,0,5
桀***析,铜牌会员,很棒棒的 手机 客服 都还好,2018-02-28 22:31:14,0,0,5
I***H,铜牌会员,急用手机的，尽量别在这家买。,2018-02-28 20:30:10,0,0,5
j***1,银牌会员,开机好慢。  指纹又用不了,2018-03-04 20:40:16,0,0,5
G***v,铜牌会员,很不错的手机，性价比很高,2018-03-06 22:52:32,0,0,5
弋***艺,银牌会员,手机挺不错的。第二次购买,2018-03-06 16:27:11,0,0,5
諵***韫,银牌会员,买给三叔的，他很喜欢好评,2018-03-03 17:19:02,0,0,5
