名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***4,铜牌会员,非常好  妈妈很喜欢这个手机  挺满意的 一天就到了,2018-02-20 17:19:53,0,0,5
d***e,银牌会员,试用了两天来评价，大大超出我的预期，我是7p用户，这个是给老人买的，我说俩手机没区别那是托，但是就我的使用需求来说（不玩儿大型手游），完全够用！而且做工非常精致，金属玻璃质感非常好，同时我也为国产手机的今天感到骄傲，Home键带返回功能巨好用，这点比苹果人性化，这是安卓系统却没有一贯安卓手机屏幕下那三个键，而是剑走偏逢的一个home搞定，喜欢这样个性的系统，简直是苹果的套路好嘛？另外超级惊喜的是续航，比我的7p耐用多了（当然可能新机没装几个应用有关），快充不是盖的，45％到95％只用半小时！这个手机写着青年良品，本来很鄙视，认为千元机就老老实实的当老人机好了嘛，现在想想老人用真是有点大材小用的意思……说这么多的意思就俩字：好评！,2017-10-15 17:30:32,1,1,5
j***5,金牌会员,还行，比我以前用的小了点，但是小巧好用，手感很好拍照也不错，送人刚刚好，手持一加3T都还想用魅族。刚买的，不知道用起来有没有我以前用的魅族那样好，如果我不懒滴话后期补评,2017-04-17 16:56:00,30,18,5
j***n,银牌会员,还不错，比我想象中的好多了！但愿用一段时间不会让我失望就好！,2017-12-28 15:12:38,0,0,5
dinglibgling,PLUS会员,很好用，玫瑰金这个配色非常好，颜值很高，拍照也很清晰，充一次电可以用一天半，已经很耐用了，系统特别好用，各个方面都很好，玩游戏也不卡，用段时间再来说说，支持京东,2017-06-13 07:14:08,13,7,5
j***5,金牌会员,昨天下午收货，手机可以，原装膜质量差不透明，但是送的钢化膜是坏的已碎，商家验货不严，只给四星，望改进,2018-02-01 09:07:36,0,0,5
遇***N,银牌会员,手机很好，刚买了就用了，特别喜欢呢。感觉不错所以就用了才过来评价的，喜欢就快买吧。,2017-08-24 19:55:29,2,0,5
j***7,铜牌会员,手感很好，颜色满意，大小适中，还未用。,2017-07-10 10:34:42,3,1,5
j***好,银牌会员,快递给力服务好现在还没有用是给我妈的不知道质量怎么样,2017-05-26 12:50:27,6,2,5
j***f,铜牌会员,手机很好 第一次在网上买手机  以前不敢在网上买 现在觉得 网上买的也很好用 打游戏用电慢  很耐电 好评,2017-06-07 15:33:32,8,2,5
j***w,铜牌会员,外观还好吧，就是手机的分辨率和喇叭有点差了。放音乐的时候杂音有点严重。 之前一直用魅族手机的，感觉之前魅族m2配置也比这款手机配置好吧。都是卖1000来块的手机越做越不如从前。,2017-05-17 16:52:07,7,1,5
j***0,铜牌会员,只送充电器。。。。,2017-10-05 11:16:20,1,1,3
1***p,金牌会员,连耳机都没有，送的保护套也是一个角歪歪的都用不了,2017-05-21 07:21:00,0,1,5
王***I,银牌会员,啊，我忘记评价了。。。。咋个很好，，手感细腻超好！玩游戏一点都不卡，棒棒哒，我觉得星空灰比较好看些，因为这已经是我第二次购买了。。。嘻嘻。。,2017-05-31 12:43:22,2,5,5
j***n,银牌会员,还行吧，媳妇儿用，说还可以！,2017-06-18 16:46:56,3,0,5
Y***神,银牌会员,非常的不错，用起来也十分流畅,2017-12-22 12:28:30,0,0,5
j***1,金牌会员,作为一个备用机还行，由于是新机，现在还不卡，手感还行，就是屏幕显示太次了，音效不好。,2017-07-12 21:21:44,8,0,5
o***r,PLUS会员,系统运行快，人性化，很快上手，音量也还大，摄像头清晰，背壳如果全金属就好了，运存大，优点，年龄大的人也能熟练操作，就是音量键，锁屏键松，放在桌子上还有声音。,2018-03-03 21:00:31,0,0,5
j***u,银牌会员,"手机正试用,用起来速度很快赞一个。",2017-05-16 11:52:54,7,0,5
P***8,钻石会员,手机已经收到了！手感绝对可以！我是第一次用魅族的手机，性能各方面还需要使用才知道！,2017-03-10 21:27:42,8,0,5
B***e,铜牌会员,买给我老妈用的   她说很好用，很适合她,2018-02-15 20:41:23,0,0,5
阿***盛,银牌会员,得还不错，就是耗电有点快，玩游戏发热厉害，其它都还好,2017-07-02 23:17:14,1,2,5
t***n,铜牌会员,拿到手机了，总体来说还不错，暂时没发现什么毛病，使用一段时间看看。,2017-05-21 18:07:31,0,0,5
1***p,金牌会员,帮别人买的，这个价位还可以，过渡一下完全没有问题,2017-06-04 18:20:19,0,0,5
