名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
汐***9,铜牌会员,刚下单之后就开始催他家物流，只能怪我太着急，所以我一直问物流，前天下单今天就到了！还好，挺满意，把需要的东西下载好，给妈妈买的，应该可以，能用住，手机屏幕大小啥的都符合要求，运行内存也够用了，反正就是好评了，谢谢，卖家还赠了钢化膜，透明手机壳，还有一个耳机！,2017-09-09 14:41:30,6,6,5
j***k,铜牌会员,昨天下午收到的  用了一晚上今天才评论 感觉挺好的 就是物流不准时  手机指纹解锁 挺快 手感也不错  收到才发现不给带耳机? 总体来说对得起这个价钱,2017-08-11 08:55:58,10,3,5
剪***绵,银牌会员,等了两天的快递终于到了，拿到之后非常高兴，一直以来都非常喜欢魅族的手机，版型很好看，货比了几家，最后选中了这家，果然没让我失望，用着很顺手，像素可以，性价比高，价格便宜，而且还送的有后壳和钢化膜，关键是物流还很快，喜欢的亲们快点来吧。,2017-12-07 17:56:46,0,2,5
j***v,铜牌会员,手机收到了，非常满意的一次购物。之前听说千元机中魅族手机口碑性价比都相当不错，拿到后果然没有失望，无论是造型还是功能，都无可挑剔。手机是买给爸爸的，今年毕业生，第一次给老爸买手机，老爸很满意，超赞。充电很快，待机时间也挺长，后台清除后，待机时间会更长。身边很多朋友都在用这款手机，选择它总没错。快递小哥也相当给力，每次京东购物都坚持送货上门，还有服务卡，京东购物完全没有后顾之忧，购物首选??????????,2017-09-03 21:47:59,4,5,5
飞***x,金牌会员,听弟弟的同学说很好，估计还是可以吧，我都没看着手机，哈哈……这视频我拍的自己的手机,2017-10-25 18:41:55,1,0,5
鹏***t,钻石会员,"经常网购，总有大量的包裹收，感觉写评语花掉了我大量的时间和精力！ 所以在一段时间里，我总是不去评价
或者随便写写！ 但是，我又总是觉得好像有点对不住那些辛苦工作的卖家客服、仓管、老板。
于是我写下了一小段话，给我觉得能拿到我五星好评的卖家的宝贝评价里面以示感谢和尊敬！ 首先，宝贝是
性价比很高的，我每次都会先试用再评价的，虽然宝贝不一定是最好的，但在同等的价位里面绝对是表现最棒的。
京东的配送绝对是一流的，送货速度快，配送员服务态度好，每样东西都是送货上门。 希望京东能再接再厉，
做得更大更强，提供更多更好的东西给大家。为京东的商品和服务点赞。
Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do
in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution
staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for 
time to be delivered. At the same time in the mall management Jingdong cust。",2017-12-12 14:16:04,1,0,5
j***x,银牌会员,魅蓝手机真心不错，从1开始就用了，还没坏，今年前半年给小孩和老爸各买了一部，这部是亲戚体验过后，让我帮她买的。希望产品越做越好，不负我等期望。,2017-10-09 19:20:13,0,1,5
j***q,钻石会员,相信京东的品质，也相信京东的物流。也相信京东的商家。手机真的不错。培新手机店也不错，赠品齐全。,2017-07-29 19:48:36,3,3,5
1***p,铜牌会员,手机看起来不错，，手感挺好，就是赠的手机壳不是很好，不匹配，不过赠品嘛，不好也不为过。卖家挺好的还赠了耳机和钢化膜，膜和耳机还没用，不知道好坏，不过耳机外观看起来挺好看的，膜不是全屏。快递也挺快的，提交订单第三天中午就送来了。总体还是不错的。希望这些描述可以帮助到以后的买家。,2017-08-03 13:10:08,2,2,5
j***r,铜牌会员,今天下午收到了，快递速度很快。刚拿到手机，挺喜欢的，做工很精致，性价比也很高，就是下载app时有些微烫，不过安卓机都这样，已经很满意了。,2017-08-25 20:41:47,1,0,5
