名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***i,银牌会员,第一次在网上买手机，手机收到了 心里扑通扑通的，正在调试中，希望这款手机好用！不过讲真的我们一家人都在用魅族手机，这款是买给小孩用的?????,2018-02-07 22:55:13,8,3,5
名***9,银牌会员,快2年没用魅蓝了   这次的全面屏加上侧指纹解锁   把我吸引了    黑色很漂亮    不带手机套    手感非常舒服,2018-01-26 22:06:47,3,1,5
ovoccccc,铜牌会员,非常好  支持买魅族,2018-03-02 16:49:37,5,1,5
j***w,PLUS会员,王者荣耀平时60，打团50多，偶尔掉45。吃鸡中特效，高帧率流畅打。基本不卡。崩坏3外传竟然几乎不卡，媲美820。   本人游戏控，对所有评测负责。请开高性能模式。分辨率就那样，正常看可以，10厘米左右会觉得不爽。    游戏可以入，电影也能行。看小说的感觉绕道，他不适合你。 最强千元机，没有对手。性能达到653，可惜耗电量恐怖，和苹果6sp耗电一样快，并不完美。,2018-01-23 00:02:51,40,28,5
我***t,PLUS会员,等了一天终于收到包裹，首先手机外部结构有变化，音量键在左边去了，右边增加了一个指纹感应键，锁屏下也能直接感应解锁，感应速度挺快，剩下一个电源键不多说。 然后我开机，屏幕正面取消了home键，变成了类似悬浮球的虚拟键，当然，另外还是有个悬浮球。 说实话，对于home键位置的虚拟按键，刚开始用还是有点不习惯，点屏幕最下面的东西老是误触。 上一款手机我用的魅蓝note3，感觉不错继续使用魅族，希望魅族在手机体验越做越好，千元机不求太高档，用着顺手就好。,2018-01-22 18:21:44,4,1,5
妍***的,PLUS会员,第一次买魅族手机，体验挺好的。720的屏幕够日常使用，照相方面欠佳，这个价位性价比已经很高了。王者平均55帧率，一把15电。跑分9w，原来的vivox9p也才10w，那些想999买果x心态的人不得不说你们很狗。[图片][图片],2018-01-23 22:55:21,15,2,5
坐***伙,铜牌会员,手机刚到手。双十一买了一部note6，用着非常好，结果出了意外，手机没了，这次买了魅蓝s6，个人感觉并不是特别好。手机屏幕略微发暗，耗电快（我开机玩了一会游戏，掉了8%的电，也就十五分钟），略微发烫。本来是冲着这个店铺送手机套和膜才买的，结果手机套拿到之后发现特别软，和手机也不是特别贴。总的来说还好吧。,2018-03-07 21:01:15,1,0,5
刹***千,金牌会员,美美哒，目前用起来很棒，手感也很棒，这个价位直,2018-03-05 08:20:38,1,0,5
A***8,PLUS会员,用了一个月才来评价的，主要是对得起千元机这个价格。颜值高，就是电源键和音量键的位置容易误截图。总是不需要截图的时候截个图，其他还可以，不卡,2018-03-04 17:38:00,0,0,5
j***f,金牌会员,感谢我们的京东快递小哥下雨了还给我送货。魅族手机一次用不要让我失望哟！,2018-03-07 17:37:31,0,0,5
洪***琴,银牌会员,手机手感很棒！指纹解锁很快！充电速度也快！三星处理器是最大的亮点，总体来说还行吧！,2018-01-29 12:28:15,5,0,5
不***止,铜牌会员,手机不错，给同学买的，三星的处理器还是不错的，不要大型游戏，一般的游戏能流畅运行，全面屏真的很抢眼，侧面指纹识别也是非常的6，自己用了魅族手机很久，才给同学推荐的，确实flyme系统优化不错，功能全面，满意，就是物流太慢了，春节期间可以谅解,2018-03-04 17:35:47,0,0,5
y***0,钻石会员,机器设计感不错，性价比很高，系统流畅，摄像头也不错，成像效果好，国产精品手机，值得拥有！…,2018-02-08 11:17:29,1,0,5
j***u,银牌会员,还可以吧，看中的就是这个侧面指纹，外观也可以，就是充满100的电量之后放在那里待机2个多小时用了10%的电，先用用看，第一次用魅族手机,2018-03-07 22:00:56,0,1,5
麻***飞,银牌会员,用了魅族差不多五年了，对这个品牌有了一定的好感，开箱就被惊艳到了，很上手，支持魅族，支持京东,2018-03-05 16:22:56,0,0,5
jd_jin.me398,银牌会员,坦白说，手机很给力，颜值很高，是正品！不过送的东西简直垃圾，膜是不能贴合的，周边都是翘起来的，最后没用了，手机套就凑合着用。主要物流快，客服人员的发货速度很快！,2018-03-08 22:14:51,0,0,4
j***4,PLUS会员,京东物流很快，东西包的很好，手机也很不错，挺好的,2018-03-03 12:00:00,1,0,5
j***6,银牌会员,手机可以挺好用哈哈哈就是刚刚打cf打几把居然无响应其他还是可以的我觉的可以好用,2018-03-03 20:11:03,0,0,5
