名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
爱***6,金牌会员,非常好拍照也清晰对焦速度快 双摄性价比很高是不错的选择,2017-10-08 10:11:31,15,9,5
l***u,PLUS会员,"在京东买了3次手机，第一次的是中兴机，应该是别人退的货。第二次买的是魅族m1 metal，用了两年。觉得魅族不错，所以这次选魅族M6 Note。两个都是8核主频2.0G的CPU,但是前者是联发科X10，后者是高通骁龙625。前者运行内存2G，机身内存16G；后者运行内存4G，机身内存64G，后置两个摄像头，前置摄像头提高到1600万像素。相比后者各项指标都胜前者很多，使用起来得心应手。在应用商店安装换机助手，十分钟就将原来手机的应用和设置的数据全部传给了新机，非常方便。",2018-02-24 18:09:58,0,1,5
5***m,银牌会员,京东的快递就是给力！昨天下单今天就收到了！第一次用魅族手机！总体感觉还是不错的！运行速度很快！就是送的手机套不咋滴，完全没法用！套在手机上很松！而且都变形了！,2017-10-02 18:48:58,66,22,5
j***2,银牌会员,比我的note5稍微感觉轻了一点。非常漂亮。,2017-10-06 11:53:09,27,15,5
a***2,金牌会员,从这款手机发布会后高一直关注这款手机了，因为性价比非常高，还是魅族历史性进步的见证，终于用上了骁龙的芯片了，赞赞赞！平时的价格太过坚挺，所以一直等到双11才下手购买，为商家发货速度给个大大的赞，双11当天下单当天发货，还有就是包装的非常好，有图，最给力的就是京东快递了说隔天到，我想双11不可能送到的，但第二天真的送来了，给力。收到手机后，就开包，全新的包装未开封过，查了下是正品，细细看了手机的做工设计真心喜欢，设计得太漂亮了，千元机里最漂亮的手机，有没有不满意的呢？有一点不满意的就是耗电有一点快。除此就没了。,2017-11-15 16:50:57,4,5,5
1***7,钻石会员,支持魅族手机，支持国产，一次买两，高性价比！！！！！！,2017-10-08 12:57:49,6,5,5
j***a,银牌会员,手机还不错，可以，刚收到，还没用,2017-10-29 11:51:22,2,2,5
给***么,银牌会员,不错，使这流畅,2018-02-05 09:15:38,0,0,5
茫茫人海sss,PLUS会员,"高清双摄 就是清晰
 手机用的太多了，疯狂的诺基亚时代7100、7120、5300、6300、E71、N95经典机型都用过。随后智能大军时代，三星5830,小米一代，摩托的XT910加大版3300毫安的电池，当时的电量一霸啊。再到4S,到LGG2,到魅族MX5，到苹果6，这又回到了安卓阵营。
 之前拍过一个一加2，但是当时是阴阳屏，没话说直接退了，这回换手机考虑了小米6和一加5，但是纠结于材料质感和耳机孔，还是选择了一加5，实话实说，手感不错，凯夫拉的后盖又让我想到了我的XT910加大版，实际使用了一天，充电很快，1个小时能冲到80%，一个半小时充满妥妥的，支持OTG办公还是很方便的，耳机插口保留的也不错，摄像上来说小遗憾就是没有光学防抖，估计升级版会加上吧，屏幕没有什么好说的，早几年用的XT910就是A屏，颜色艳丽有颗粒感，是720的应该，一加5的A屏好很多吧，不盯着屏幕仔细找颗粒的话，颗粒感可以忽略了，平心而论，接受不接受在个人吧。运行速度的话，骁龙的芯片没的说,6G内存也就够用了，小吐槽一点，价位能在低一点就好了，相比较小米6的话性价比有点低了。
 先把玩把玩，研究研究高清双摄吧，哈哈哈哈",2017-09-08 10:51:38,26,44,5
j***t,银牌会员,4＋64版本，高通625处理器，超低价格入手，性价比非常高，第一次用魅族手机，就是不知道耐用性怎么样，送的东西凑合吧，五星好评！,2017-11-27 16:39:02,0,5,5
轩***宇,银牌会员,感觉不错，高大上啊。,2017-09-17 21:32:14,20,7,5
RzzkAvytOELC,银牌会员,5.5寸的屏幕效果显示可以手机的运行呢？不玩大型游戏速度是杠杠的。质量没有问题!相机的清晰度看视频,2018-02-26 12:34:13,0,0,5
j***5,银牌会员,手机好用，手感不错，支持魅族,2017-09-30 16:13:25,10,2,5
j***1,银牌会员,手机也好，游戏流畅度也很好，玩王者一点都不卡，套，膜都有，如能买手机给个耳机更好啦,2018-02-24 08:30:14,0,0,5
